               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11886,             0.04307,            0.051505,           0.0058824,             0.13158,             0.01279,           0.0044451,             0.10176,            0.025981,             0.05146,              0.0937,              0.0007,              0.0007
                   1,             0.10972,            0.048016,            0.048006,           0.0056818,             0.21053,            0.037856,            0.011733,            0.088464,            0.025381,            0.043718,             0.08647,           0.0014703,           0.0014703
                   2,             0.09774,            0.051355,             0.04201,           0.0072565,             0.29386,            0.049706,            0.015605,            0.085993,            0.024276,            0.035868,            0.079209,           0.0022089,           0.0022089
                   3,            0.093392,            0.055352,            0.039069,             0.65076,             0.15789,             0.12536,             0.03916,            0.078725,            0.022788,            0.027139,            0.071916,           0.0029159,           0.0029159
                   4,            0.084103,            0.051688,            0.031913,             0.64762,             0.26316,             0.26843,            0.085326,            0.072601,            0.020962,            0.020427,            0.064591,           0.0035911,           0.0035911
                   5,              0.0825,            0.051301,            0.027039,             0.38968,             0.68255,             0.43918,             0.16805,            0.072342,             0.01993,            0.015351,            0.057235,           0.0042347,           0.0042347
                   6,            0.076054,            0.044905,            0.022453,             0.26375,              0.5614,             0.21474,            0.089685,            0.078112,            0.021467,            0.012818,            0.049847,           0.0048466,           0.0048466
                   7,            0.081373,            0.037062,            0.020039,             0.39768,             0.61404,             0.43457,             0.13478,            0.081104,            0.019089,            0.011695,            0.042427,           0.0054268,           0.0054268
                   8,            0.077444,            0.042943,            0.020239,              0.1764,             0.72898,             0.31051,             0.14815,            0.086269,            0.018196,            0.009861,            0.034975,           0.0059754,           0.0059754
                   9,             0.07887,            0.042492,            0.022916,             0.29446,             0.47807,             0.33334,             0.12093,            0.081621,             0.01573,           0.0085681,            0.027492,           0.0064922,           0.0064922
                  10,            0.076446,            0.035253,            0.018098,             0.29674,             0.48246,             0.36778,             0.13002,            0.085454,            0.014999,           0.0076168,            0.019977,           0.0069774,           0.0069774
                  11,            0.079774,            0.035963,            0.011743,             0.40107,             0.64163,             0.53022,             0.16036,            0.080237,            0.013144,           0.0067868,            0.012431,           0.0074309,           0.0074309
                  12,            0.078853,            0.034131,            0.023762,             0.52636,              0.6229,              0.5278,             0.19723,            0.079136,            0.011982,           0.0065951,            0.007624,            0.007624,            0.007624
                  13,            0.078123,            0.036307,            0.016397,             0.23389,             0.53509,             0.32829,             0.13015,             0.07778,            0.011261,           0.0061472,            0.007624,            0.007624,            0.007624
                  14,            0.074919,            0.038398,            0.016536,             0.38637,             0.45675,             0.36698,             0.14601,            0.078076,            0.010491,            0.005565,            0.007426,            0.007426,            0.007426
                  15,            0.072815,            0.035544,            0.011199,             0.51585,             0.44847,             0.49732,             0.20082,            0.069062,            0.010673,           0.0050098,            0.007228,            0.007228,            0.007228
                  16,            0.072464,            0.037046,            0.012324,             0.36631,             0.67544,             0.45678,             0.18321,            0.075985,           0.0097983,           0.0042404,             0.00703,             0.00703,             0.00703
                  17,            0.069379,            0.037737,             0.01032,             0.69627,             0.46053,             0.60533,             0.25566,            0.064544,            0.010454,           0.0038153,            0.006832,            0.006832,            0.006832
                  18,            0.066499,            0.031893,            0.011953,             0.37661,             0.78945,             0.48988,             0.22128,            0.068331,            0.010297,           0.0035543,            0.006634,            0.006634,            0.006634
                  19,            0.063294,            0.035148,            0.012355,             0.46665,             0.59211,             0.56556,             0.18372,            0.060553,            0.010129,           0.0032046,            0.006436,            0.006436,            0.006436
                  20,            0.059906,             0.03366,            0.011333,              0.4002,             0.73246,             0.48634,             0.19118,            0.057133,            0.010266,            0.002953,            0.006238,            0.006238,            0.006238
                  21,            0.063991,            0.036711,           0.0098806,             0.48684,             0.78509,             0.57211,              0.2861,            0.061746,           0.0097909,           0.0027182,             0.00604,             0.00604,             0.00604
                  22,             0.05689,             0.03409,            0.015562,             0.51628,             0.87308,             0.64572,             0.29166,            0.057333,           0.0099163,            0.002689,            0.005842,            0.005842,            0.005842
                  23,            0.061921,            0.036941,            0.011916,             0.24567,             0.60059,             0.30702,              0.1383,            0.053472,           0.0099058,           0.0026915,            0.005644,            0.005644,            0.005644
                  24,            0.062232,            0.032392,            0.012843,             0.34744,             0.56269,             0.48968,             0.18391,            0.057099,           0.0095067,           0.0026761,            0.005446,            0.005446,            0.005446
                  25,            0.048785,            0.032983,            0.009726,             0.57655,              0.8114,             0.69584,             0.28568,            0.047842,           0.0096085,           0.0026949,            0.005248,            0.005248,            0.005248
                  26,            0.047935,            0.030994,             0.00967,             0.52921,             0.75877,             0.67547,             0.32758,            0.046255,           0.0094587,           0.0027009,             0.00505,             0.00505,             0.00505
